path,label,pred,wake_prob,npu_ms
wallpad_HiWonder_251113/minz/minz_1_218.wav,1,1,0.8084,9.9
wallpad_HiWonder_251113/minz/minz_0_32.wav,0,0,0.0514,9.3
wallpad_HiWonder_251113/minz/minz_0_26.wav,0,0,0.0471,9.5
wallpad_HiWonder_251113/minz/minz_1_2155.wav,1,1,0.8771,10.7
wallpad_HiWonder_251113/minz/minz_0_27.wav,0,0,0.1136,9.4
wallpad_HiWonder_251113/minz/minz_0_33.wav,0,0,0.0952,10.2
wallpad_HiWonder_251113/minz/minz_1_219.wav,1,1,0.8454,11.6
wallpad_HiWonder_251113/minz/minz_1_233.wav,1,1,0.9380,10.0
wallpad_HiWonder_251113/minz/minz_1_8.wav,1,1,0.9357,10.1
wallpad_HiWonder_251113/minz/minz_0_25.wav,0,0,0.1176,11.5
wallpad_HiWonder_251113/minz/minz_0_31.wav,0,0,0.0382,9.7
wallpad_HiWonder_251113/minz/minz_0_19.wav,0,0,0.0296,10.2
wallpad_HiWonder_251113/minz/minz_0_18.wav,0,0,0.3724,9.7
wallpad_HiWonder_251113/minz/minz_0_30.wav,0,0,0.0258,9.9
wallpad_HiWonder_251113/minz/minz_0_24.wav,0,0,0.0752,10.3
wallpad_HiWonder_251113/minz/minz_1_9.wav,1,1,0.9537,9.1
wallpad_HiWonder_251113/minz/minz_1_222.wav,1,1,0.9471,9.6
wallpad_HiWonder_251113/minz/minz_0_20.wav,0,0,0.0814,10.5
wallpad_HiWonder_251113/minz/minz_0_34.wav,0,0,0.3047,9.7
wallpad_HiWonder_251113/minz/minz_0_35.wav,0,0,0.0306,10.3
wallpad_HiWonder_251113/minz/minz_0_21.wav,0,0,0.2755,9.4
wallpad_HiWonder_251113/minz/minz_0_37.wav,0,0,0.0972,10.4
wallpad_HiWonder_251113/minz/minz_0_23.wav,0,0,0.0457,9.9
wallpad_HiWonder_251113/minz/minz_1_2144.wav,1,1,0.9264,10.6
wallpad_HiWonder_251113/minz/minz_0_22.wav,0,0,0.0393,10.9
wallpad_HiWonder_251113/minz/minz_0_36.wav,0,0,0.0489,9.8
wallpad_HiWonder_251113/minz/minz_1_220.wav,1,1,0.8440,10.5
wallpad_HiWonder_251113/minz/minz_0_8.wav,0,0,0.0906,9.5
wallpad_HiWonder_251113/minz/minz_1_2122.wav,1,1,0.9402,9.4
wallpad_HiWonder_251113/minz/minz_1_11.wav,1,1,0.9409,9.0
wallpad_HiWonder_251113/minz/minz_1_10.wav,1,1,0.8659,8.8
wallpad_HiWonder_251113/minz/minz_0_9.wav,0,0,0.0771,8.9
wallpad_HiWonder_251113/minz/minz_1_244.wav,1,1,0.9644,10.1
wallpad_HiWonder_251113/minz/minz_1_12.wav,1,1,0.9462,9.1
wallpad_HiWonder_251113/minz/minz_1_255.wav,1,1,0.9764,8.9
wallpad_HiWonder_251113/minz/minz_1_17.wav,1,1,0.9517,8.9
wallpad_HiWonder_251113/minz/minz_0_40.wav,0,0,0.0328,9.3
wallpad_HiWonder_251113/minz/minz_1_14.wav,1,1,0.9158,9.1
wallpad_HiWonder_251113/minz/minz_1_2132.wav,1,1,0.9632,8.9
wallpad_HiWonder_251113/minz/minz_1_15.wav,1,1,0.8942,4.7
wallpad_HiWonder_251113/minz/minz_1_266.wav,1,1,0.9080,4.7
wallpad_HiWonder_251113/minz/minz_1_299.wav,1,1,0.8812,6.6
wallpad_HiWonder_251113/minz/minz_1_18.wav,1,1,0.9149,4.7
wallpad_HiWonder_251113/minz/minz_0_1.wav,0,0,0.1770,5.2
wallpad_HiWonder_251113/minz/minz_1_30.wav,1,1,0.9370,5.2
wallpad_HiWonder_251113/minz/minz_1_31.wav,1,1,0.9448,4.8
